i,k,f1
2167,-1,0.928
2168,1,0.507
2168,5,0.883
2168,10,0.897
2168,25,0.919
2168,50,0.915
2168,-1,0.94
2169,1,0.854
2169,5,0.867
2169,10,0.873
2169,25,0.922
2169,50,0.93
2169,-1,0.949
2170,1,0.819
2170,5,0.858
2170,10,0.893
2170,25,0.874
2170,50,0.912
2170,-1,0.92
2171,1,0.66
2171,5,0.866
2171,10,0.855
2171,25,0.898
2171,50,0.906
2171,-1,0.939
2172,1,0.606
2172,5,0.791
2172,10,0.854
2172,25,0.889
2172,50,0.905
2172,-1,0.945
2173,1,0.715
2173,5,0.889
2173,10,0.899
2173,25,0.898
2173,50,0.885
2173,-1,0.949
2174,1,0.471
2174,5,0.831
2174,10,0.857
2174,25,0.879
2174,50,0.901
2174,-1,0.937
2175,1,0.685
2175,5,0.87
2175,10,0.885
2175,25,0.889
2175,50,0.912
2175,-1,0.95
2176,1,0.667
2176,5,0.835
2176,10,0.858
2176,25,0.879
2176,50,0.878
2176,-1,0.931
2177,1,0.689
2177,5,0.867
2177,10,0.865
2177,25,0.877
2177,50,0.905
2177,-1,0.943
2178,1,0.69
2178,5,0.865
2178,10,0.88
2178,25,0.879
2178,50,0.894
2178,-1,0.936
2179,1,0.624
2179,5,0.852
2179,10,0.874
2179,25,0.894
2179,50,0.91
2179,-1,0.935
2180,1,0.772
2180,5,0.85
2180,10,0.874
2180,25,0.91
2180,50,0.924
2180,-1,0.939
2181,1,0.711
2181,5,0.871
2181,10,0.906
2181,25,0.918
2181,50,0.924
2181,-1,0.949
2182,1,0.731
2182,5,0.844
2182,10,0.881
2182,25,0.875
2182,50,0.892
2182,-1,0.913
2183,1,0.578
2183,5,0.847
2183,10,0.863
2183,25,0.855
2183,50,0.884
2183,-1,0.931
2184,1,0.741
2184,5,0.755
2184,10,0.822
2184,25,0.882
2184,50,0.892
2184,-1,0.938
2185,1,0.361
2185,5,0.826
2185,10,0.808
2185,25,0.874
2185,50,0.869
2185,-1,0.956
2186,1,0.614
2186,5,0.883
2186,10,0.879
2186,25,0.885
2186,50,0.911
2186,-1,0.939
2187,1,0.677
2187,5,0.857
2187,10,0.896
2187,25,0.912
2187,50,0.917
2187,-1,0.95
2188,1,0.247
2188,5,0.643
2188,10,0.844
2188,25,0.88
2188,50,0.894
2188,-1,0.929
2189,1,0.724
2189,5,0.823
2189,10,0.891
2189,25,0.906
2189,50,0.899
2189,-1,0.934
2190,1,0.749
2190,5,0.814
2190,10,0.858
2190,25,0.887
2190,50,0.896
2190,-1,0.946
2191,1,0.782
2191,5,0.857
2191,10,0.849
2191,25,0.903
2191,50,0.885
2191,-1,0.937
2192,1,0.658
2192,5,0.853
2192,10,0.878
2192,25,0.888
2192,50,0.899
2192,-1,0.933
2193,1,0.792
2193,5,0.843
2193,10,0.802
2193,25,0.85
2193,50,0.881
2193,-1,0.94
2194,1,0.542
2194,5,0.79
2194,10,0.88
2194,25,0.876
2194,50,0.898
2194,-1,0.937
2195,1,0.428
2195,5,0.833
2195,10,0.878
2195,25,0.898
2195,50,0.911
2195,-1,0.936
2196,1,0.706
2196,5,0.861
2196,10,0.861
2196,25,0.913
2196,50,0.934
2196,-1,0.945
2197,1,0.734
2197,5,0.768
2197,10,0.839
2197,25,0.871
2197,50,0.894
2197,-1,0.94
2198,1,0.801
2198,5,0.882
2198,10,0.889
2198,25,0.898
2198,50,0.92
2198,-1,0.939
2199,1,0.804
2199,5,0.786
2199,10,0.84
2199,25,0.849
2199,50,0.894
2199,-1,0.931
2200,1,0.762
2200,5,0.869
2200,10,0.888
2200,25,0.893
2200,50,0.891
2200,-1,0.934
2201,1,0.668
2201,5,0.841
2201,10,0.787
2201,25,0.868
2201,50,0.884
2201,-1,0.938
2202,1,0.649
2202,5,0.764
2202,10,0.812
2202,25,0.908
2202,50,0.918
2202,-1,0.953
2203,1,0.587
2203,5,0.884
2203,10,0.883
2203,25,0.905
2203,50,0.915
2203,-1,0.942
2204,1,0.78
2204,5,0.814
2204,10,0.861
2204,25,0.888
2204,50,0.9
2204,-1,0.937
2205,1,0.599
2205,5,0.842
2205,10,0.885
2205,25,0.905
2205,50,0.915
2205,-1,0.934
2206,1,0.743
2206,5,0.865
2206,10,0.9
2206,25,0.919
2206,50,0.91
2206,-1,0.952
2207,1,0.655
2207,5,0.77
2207,10,0.857
2207,25,0.911
2207,50,0.907
2207,-1,0.941
2208,1,0.561
2208,5,0.857
2208,10,0.782
2208,25,0.873
2208,50,0.899
2208,-1,0.932
2209,1,0.734
2209,5,0.819
2209,10,0.855
2209,25,0.885
2209,50,0.906
2209,-1,0.947
2210,1,0.724
2210,5,0.818
2210,10,0.858
2210,25,0.877
2210,50,0.9
2210,-1,0.932
2211,1,0.722
2211,5,0.801
2211,10,0.826
2211,25,0.873
2211,50,0.901
2211,-1,0.937
2212,1,0.586
2212,5,0.869
2212,10,0.882
2212,25,0.922
2212,50,0.917
2212,-1,0.945
2213,1,0.754
2213,5,0.784
2213,10,0.86
2213,25,0.885
2213,50,0.904
2213,-1,0.939
2214,1,0.365
2214,5,0.836
2214,10,0.875
2214,25,0.914
2214,50,0.917
2214,-1,0.951
2215,1,0.748
2215,5,0.845
2215,10,0.866
2215,25,0.913
2215,50,0.905
2215,-1,0.949
2216,1,0.817
2216,5,0.84
2216,10,0.86
2216,25,0.892
2216,50,0.905
2216,-1,0.943
2217,1,0.684
2217,5,0.854
2217,10,0.893
2217,25,0.894
2217,50,0.899
2217,-1,0.947
2218,1,0.526
2218,5,0.837
2218,10,0.875
2218,25,0.902
2218,50,0.918
2218,-1,0.949
2219,1,0.813
2219,5,0.844
2219,10,0.862
2219,25,0.895
2219,50,0.9
2219,-1,0.946
2220,1,0.663
2220,5,0.888
2220,10,0.888
2220,25,0.912
2220,50,0.925
2220,-1,0.94
2221,1,0.806
2221,5,0.834
2221,10,0.872
2221,25,0.894
2221,50,0.927
2221,-1,0.948
2222,1,0.656
2222,5,0.87
2222,10,0.893
2222,25,0.906
2222,50,0.903
2222,-1,0.941
2223,1,0.659
2223,5,0.868
2223,10,0.898
2223,25,0.896
2223,50,0.901
2223,-1,0.927
2224,1,0.773
2224,5,0.85
2224,10,0.89
2224,25,0.927
2224,50,0.927
2224,-1,0.948
2225,1,0.658
2225,5,0.876
2225,10,0.915
2225,25,0.885
2225,50,0.909
2225,-1,0.934
2226,1,0.66
2226,5,0.859
2226,10,0.896
2226,25,0.89
2226,50,0.931
2226,-1,0.955
2227,1,0.593
2227,5,0.88
2227,10,0.897
2227,25,0.894
2227,50,0.9
2227,-1,0.927
2228,1,0.638
2228,5,0.863
2228,10,0.877
2228,25,0.906
2228,50,0.908
2228,-1,0.952
2229,1,0.822
2229,5,0.879
2229,10,0.89
2229,25,0.9
2229,50,0.905
2229,-1,0.946
2230,1,0.802
2230,5,0.862
2230,10,0.88
2230,25,0.901
2230,50,0.913
2230,-1,0.935
2231,1,0.799
2231,5,0.865
2231,10,0.891
2231,25,0.884
2231,50,0.908
2231,-1,0.947
2232,1,0.741
2232,5,0.808
2232,10,0.825
2232,25,0.885
2232,50,0.913
2232,-1,0.939
2233,1,0.681
2233,5,0.826
2233,10,0.851
2233,25,0.893
2233,50,0.904
2233,-1,0.936
2234,1,0.768
2234,5,0.848
2234,10,0.882
2234,25,0.909
2234,50,0.909
2234,-1,0.938
2235,1,0.794
2235,5,0.835
2235,10,0.878
2235,25,0.882
2235,50,0.916
2235,-1,0.943
2236,1,0.424
2236,5,0.807
2236,10,0.894
2236,25,0.914
2236,50,0.891
2236,-1,0.934
2237,1,0.864
2237,5,0.795
2237,10,0.819
2237,25,0.891
2237,50,0.898
2237,-1,0.936
2238,1,0.708
2238,5,0.855
2238,10,0.927
2238,25,0.92
2238,50,0.936
2238,-1,0.946
2239,1,0.437
2239,5,0.878
2239,10,0.877
2239,25,0.885
2239,50,0.877
2239,-1,0.933
2240,1,0.773
2240,5,0.895
2240,10,0.894
2240,25,0.91
2240,50,0.915
2240,-1,0.942
2241,1,0.696
2241,5,0.853
2241,10,0.885
2241,25,0.905
2241,50,0.901
2241,-1,0.937
2242,1,0.633
2242,5,0.848
2242,10,0.88
2242,25,0.888
2242,50,0.904
2242,-1,0.935
2243,1,0.835
2243,5,0.875
2243,10,0.89
2243,25,0.901
2243,50,0.906
2243,-1,0.934
2244,1,0.818
2244,5,0.866
2244,10,0.875
2244,25,0.902
2244,50,0.909
2244,-1,0.932
2245,1,0.766
2245,5,0.882
2245,10,0.89
2245,25,0.894
2245,50,0.908
2245,-1,0.945
2246,1,0.351
2246,5,0.826
2246,10,0.852
2246,25,0.889
2246,50,0.911
2246,-1,0.932
2247,1,0.571
2247,5,0.827
2247,10,0.777
2247,25,0.901
2247,50,0.886
2247,-1,0.94
2248,1,0.721
2248,5,0.845
2248,10,0.837
2248,25,0.884
2248,50,0.904
2248,-1,0.943
2249,1,0.787
2249,5,0.815
2249,10,0.857
2249,25,0.885
2249,50,0.902
2249,-1,0.925
2250,1,0.346
2250,5,0.838
2250,10,0.868
2250,25,0.9
2250,50,0.919
2250,-1,0.947
2251,1,0.751
2251,5,0.855
2251,10,0.894
2251,25,0.906
2251,50,0.905
2251,-1,0.925
2252,1,0.636
2252,5,0.846
2252,10,0.864
2252,25,0.867
2252,50,0.907
2252,-1,0.942
2253,1,0.68
2253,5,0.832
2253,10,0.859
2253,25,0.869
2253,50,0.899
2253,-1,0.934
2254,1,0.827
2254,5,0.878
2254,10,0.886
2254,25,0.899
2254,50,0.927
2254,-1,0.945
2255,1,0.525
2255,5,0.863
2255,10,0.887
2255,25,0.881
2255,50,0.907
2255,-1,0.941
2256,1,0.66
2256,5,0.795
2256,10,0.849
2256,25,0.879
2256,50,0.891
2256,-1,0.946
2257,1,0.599
2257,5,0.828
2257,10,0.85
2257,25,0.881
2257,50,0.902
2257,-1,0.933
2258,1,0.755
2258,5,0.82
2258,10,0.877
2258,25,0.882
2258,50,0.895
2258,-1,0.914
2259,1,0.68
2259,5,0.858
2259,10,0.864
2259,25,0.911
2259,50,0.923
2259,-1,0.931
2260,1,0.812
2260,5,0.821
2260,10,0.896
2260,25,0.881
2260,50,0.893
2260,-1,0.948
2261,1,0.239
2261,5,0.8
2261,10,0.85
2261,25,0.903
2261,50,0.917
2261,-1,0.943
2262,1,0.848
2262,5,0.852
2262,10,0.893
2262,25,0.915
2262,50,0.91
2262,-1,0.947
2263,1,0.821
2263,5,0.864
2263,10,0.889
2263,25,0.913
2263,50,0.92
2263,-1,0.948
2264,1,0.877
2264,5,0.897
2264,10,0.907
2264,25,0.907
2264,50,0.912
2264,-1,0.946
2265,1,0.759
2265,5,0.857
2265,10,0.914
2265,25,0.876
2265,50,0.897
2265,-1,0.946
2266,1,0.207
2266,5,0.855
2266,10,0.865
2266,25,0.889
2266,50,0.883
2266,-1,0.934
2267,1,0.614
2267,5,0.863
2267,10,0.869
2267,25,0.902
2267,50,0.912
2267,-1,0.941
2268,1,0.734
2268,5,0.85
2268,10,0.86
2268,25,0.861
2268,50,0.908
2268,-1,0.919
2269,1,0.498
2269,5,0.852
2269,10,0.864
2269,25,0.87
2269,50,0.891
2269,-1,0.932
2270,1,0.771
2270,5,0.875
2270,10,0.888
2270,25,0.899
2270,50,0.908
2270,-1,0.936
2271,1,0.749
2271,5,0.84
2271,10,0.868
2271,25,0.897
2271,50,0.892
2271,-1,0.929
2272,1,0.414
2272,5,0.884
2272,10,0.893
2272,25,0.901
2272,50,0.889
2272,-1,0.933
2273,1,0.708
2273,5,0.876
2273,10,0.886
2273,25,0.906
2273,50,0.914
2273,-1,0.945
2274,1,0.529
2274,5,0.768
2274,10,0.824
2274,25,0.884
2274,50,0.886
2274,-1,0.936
2275,1,0.749
2275,5,0.863
2275,10,0.885
2275,25,0.9
2275,50,0.907
2275,-1,0.938
2276,1,0.744
2276,5,0.834
2276,10,0.881
2276,25,0.871
2276,50,0.874
2276,-1,0.933
2277,1,0.71
2277,5,0.858
2277,10,0.862
2277,25,0.852
2277,50,0.884
2277,-1,0.938
2278,1,0.371
2278,5,0.841
2278,10,0.893
2278,25,0.891
2278,50,0.919
2278,-1,0.927
2279,1,0.811
2279,5,0.881
2279,10,0.858
2279,25,0.886
2279,50,0.892
2279,-1,0.95
2280,1,0.223
2280,5,0.789
2280,10,0.829
2280,25,0.884
2280,50,0.896
2280,-1,0.919
2281,1,0.797
2281,5,0.83
2281,10,0.865
2281,25,0.893
2281,50,0.92
2281,-1,0.949
2282,1,0.563
2282,5,0.838
2282,10,0.862
2282,25,0.904
2282,50,0.903
2282,-1,0.933
2283,1,0.79
2283,5,0.869
2283,10,0.857
2283,25,0.902
2283,50,0.894
2283,-1,0.935
2284,1,0.351
2284,5,0.759
2284,10,0.864
2284,25,0.881
2284,50,0.914
2284,-1,0.939
2285,1,0.531
2285,5,0.843
2285,10,0.874
2285,25,0.881
2285,50,0.905
2285,-1,0.933
2286,1,0.6
2286,5,0.85
2286,10,0.889
2286,25,0.905
2286,50,0.898
2286,-1,0.936
2287,1,0.812
2287,5,0.809
2287,10,0.844
2287,25,0.888
2287,50,0.92
2287,-1,0.943
2288,1,0.794
2288,5,0.897
2288,10,0.907
2288,25,0.921
2288,50,0.889
2288,-1,0.952
2289,1,0.657
2289,5,0.874
2289,10,0.884
2289,25,0.877
2289,50,0.892
2289,-1,0.943
2290,1,0.726
2290,5,0.897
2290,10,0.878
2290,25,0.903
2290,50,0.893
2290,-1,0.946
2291,1,0.739
2291,5,0.888
2291,10,0.896
2291,25,0.902
2291,50,0.924
2291,-1,0.941
2292,1,0.679
2292,5,0.873
2292,10,0.891
2292,25,0.889
2292,50,0.91
2292,-1,0.933
2293,1,0.764
2293,5,0.8
2293,10,0.876
2293,25,0.896
2293,50,0.915
2293,-1,0.928
2294,1,0.732
2294,5,0.792
2294,10,0.85
2294,25,0.88
2294,50,0.914
2294,-1,0.953
2295,1,0.738
2295,5,0.893
2295,10,0.879
2295,25,0.907
2295,50,0.923
2295,-1,0.941
2296,1,0.72
2296,5,0.879
2296,10,0.865
2296,25,0.893
2296,50,0.902
2296,-1,0.946
2297,1,0.628
2297,5,0.846
2297,10,0.85
2297,25,0.888
2297,50,0.901
2297,-1,0.932
2298,1,0.587
2298,5,0.767
2298,10,0.861
2298,25,0.889
2298,50,0.897
2298,-1,0.946
2299,1,0.652
2299,5,0.881
2299,10,0.852
2299,25,0.872
2299,50,0.915
2299,-1,0.935
2300,1,0.672
2300,5,0.855
2300,10,0.881
2300,25,0.917
2300,50,0.901
2300,-1,0.946
2301,1,0.735
2301,5,0.884
2301,10,0.901
2301,25,0.883
2301,50,0.905
2301,-1,0.944
2302,1,0.763
2302,5,0.851
2302,10,0.858
2302,25,0.893
2302,50,0.913
2302,-1,0.935
2303,1,0.664
2303,5,0.747
2303,10,0.87
2303,25,0.898
2303,50,0.902
2303,-1,0.93
2304,1,0.481
2304,5,0.874
2304,10,0.916
2304,25,0.917
2304,50,0.895
2304,-1,0.929
2305,1,0.765
2305,5,0.834
2305,10,0.844
2305,25,0.888
2305,50,0.903
2305,-1,0.94
2306,1,0.815
2306,5,0.872
2306,10,0.85
2306,25,0.906
2306,50,0.919
2306,-1,0.941
2307,1,0.702
2307,5,0.851
2307,10,0.877
2307,25,0.889
2307,50,0.893
2307,-1,0.932
2308,1,0.368
2308,5,0.858
2308,10,0.908
2308,25,0.882
2308,50,0.912
2308,-1,0.939
2309,1,0.613
2309,5,0.879
2309,10,0.873
2309,25,0.905
2309,50,0.928
2309,-1,0.946
2310,1,0.738
2310,5,0.817
2310,10,0.892
2310,25,0.884
2310,50,0.893
2310,-1,0.938
2311,1,0.668
2311,5,0.899
2311,10,0.885
2311,25,0.906
2311,50,0.897
2311,-1,0.931
2312,1,0.615
2312,5,0.86
2312,10,0.886
2312,25,0.881
2312,50,0.899
2312,-1,0.922
2313,1,0.779
2313,5,0.868
2313,10,0.874
2313,25,0.892
2313,50,0.924
2313,-1,0.945
2314,1,0.584
2314,5,0.889
2314,10,0.893
2314,25,0.888
2314,50,0.886
2314,-1,0.942
2315,1,0.521
2315,5,0.876
2315,10,0.861
2315,25,0.9
2315,50,0.908
2315,-1,0.936
2316,1,0.703
2316,5,0.846
2316,10,0.895
2316,25,0.905
2316,50,0.929
2316,-1,0.944
2317,1,0.299
2317,5,0.882
2317,10,0.888
2317,25,0.9
2317,50,0.885
2317,-1,0.934
2318,1,0.624
2318,5,0.805
2318,10,0.857
2318,25,0.856
2318,50,0.884
2318,-1,0.936
2319,1,0.719
2319,5,0.795
2319,10,0.826
2319,25,0.892
2319,50,0.916
2319,-1,0.945
2320,1,0.718
2320,5,0.885
2320,10,0.865
2320,25,0.888
2320,50,0.914
2320,-1,0.939
2321,1,0.796
2321,5,0.843
2321,10,0.866
2321,25,0.866
2321,50,0.88
2321,-1,0.941
2322,1,0.863
2322,5,0.883
2322,10,0.91
2322,25,0.921
2322,50,0.908
2322,-1,0.945
2323,1,0.804
2323,5,0.875
2323,10,0.868
2323,25,0.903
2323,50,0.915
2323,-1,0.931
2324,1,0.842
2324,5,0.837
2324,10,0.862
2324,25,0.908
2324,50,0.912
2324,-1,0.951
2325,1,0.608
2325,5,0.858
2325,10,0.883
2325,25,0.883
2325,50,0.901
2325,-1,0.925
2326,1,0.67
2326,5,0.885
2326,10,0.892
2326,25,0.908
2326,50,0.888
2326,-1,0.94
2327,1,0.721
2327,5,0.836
2327,10,0.874
2327,25,0.883
2327,50,0.892
2327,-1,0.934
2328,1,0.881
2328,5,0.878
2328,10,0.905
2328,25,0.922
2328,50,0.917
2328,-1,0.942
2329,1,0.658
2329,5,0.841
2329,10,0.867
2329,25,0.887
2329,50,0.891
2329,-1,0.938
2330,1,0.498
2330,5,0.848
2330,10,0.875
2330,25,0.904
2330,50,0.916
2330,-1,0.936
2331,1,0.752
2331,5,0.854
2331,10,0.878
2331,25,0.902
2331,50,0.913
2331,-1,0.948
2332,1,0.82
2332,5,0.885
2332,10,0.889
2332,25,0.897
2332,50,0.913
2332,-1,0.93
2333,1,0.777
2333,5,0.881
2333,10,0.892
2333,25,0.896
2333,50,0.91
2333,-1,0.943
2334,1,0.763
2334,5,0.857
2334,10,0.881
2334,25,0.898
2334,50,0.93
2334,-1,0.931
2335,1,0.172
2335,5,0.766
2335,10,0.815
2335,25,0.9
2335,50,0.909
2335,-1,0.931
2336,1,0.743
2336,5,0.819
2336,10,0.841
2336,25,0.862
2336,50,0.892
2336,-1,0.929
2337,1,0.731
2337,5,0.883
2337,10,0.883
2337,25,0.889
2337,50,0.897
2337,-1,0.931
2338,1,0.752
2338,5,0.848
2338,10,0.874
2338,25,0.849
2338,50,0.878
2338,-1,0.937
2339,1,0.677
2339,5,0.843
2339,10,0.87
2339,25,0.871
2339,50,0.91
2339,-1,0.941
2340,1,0.693
2340,5,0.795
2340,10,0.829
2340,25,0.854
2340,50,0.901
2340,-1,0.937
2341,1,0.64
2341,5,0.853
2341,10,0.881
2341,25,0.889
2341,50,0.903
2341,-1,0.944
2342,1,0.863
2342,5,0.847
2342,10,0.88
2342,25,0.881
2342,50,0.897
2342,-1,0.944
2343,1,0.673
2343,5,0.827
2343,10,0.852
2343,25,0.887
2343,50,0.898
2343,-1,0.932
2344,1,0.504
2344,5,0.809
2344,10,0.846
2344,25,0.875
2344,50,0.903
2344,-1,0.947
2345,1,0.675
2345,5,0.837
2345,10,0.876
2345,25,0.89
2345,50,0.911
2345,-1,0.933
2346,1,0.625
2346,5,0.799
2346,10,0.852
2346,25,0.897
2346,50,0.906
2346,-1,0.94
2347,1,0.71
2347,5,0.851
2347,10,0.869
2347,25,0.891
2347,50,0.909
2347,-1,0.949
2348,1,0.857
2348,5,0.736
2348,10,0.894
2348,25,0.895
2348,50,0.886
2348,-1,0.942
2349,1,0.669
2349,5,0.882
2349,10,0.879
2349,25,0.897
2349,50,0.897
2349,-1,0.939
2350,1,0.76
2350,5,0.868
2350,10,0.854
2350,25,0.874
2350,50,0.881
2350,-1,0.941
2351,1,0.784
2351,5,0.865
2351,10,0.908
2351,25,0.902
2351,50,0.908
2351,-1,0.932
2352,1,0.72
2352,5,0.809
2352,10,0.884
2352,25,0.902
2352,50,0.921
2352,-1,0.945
2353,1,0.842
2353,5,0.885
2353,10,0.902
2353,25,0.906
2353,50,0.905
2353,-1,0.939
2354,1,0.701
2354,5,0.772
2354,10,0.82
2354,25,0.888
2354,50,0.91
2354,-1,0.942
2355,1,0.798
2355,5,0.855
2355,10,0.877
2355,25,0.891
2355,50,0.914
2355,-1,0.96
2356,1,0.713
2356,5,0.88
2356,10,0.882
2356,25,0.881
2356,50,0.903
2356,-1,0.945
2357,1,0.599
2357,5,0.83
2357,10,0.857
2357,25,0.897
2357,50,0.903
2357,-1,0.933
2358,1,0.587
2358,5,0.847
2358,10,0.886
2358,25,0.91
2358,50,0.931
2358,-1,0.942
2359,1,0.724
2359,5,0.839
2359,10,0.893
2359,25,0.896
2359,50,0.904
2359,-1,0.937
2360,1,0.652
2360,5,0.865
2360,10,0.884
2360,25,0.91
2360,50,0.916
2360,-1,0.941
2361,1,0.523
2361,5,0.8
2361,10,0.853
2361,25,0.863
2361,50,0.876
2361,-1,0.945
2362,1,0.712
2362,5,0.856
2362,10,0.891
2362,25,0.902
2362,50,0.89
2362,-1,0.93
2363,1,0.616
2363,5,0.87
2363,10,0.876
2363,25,0.904
2363,50,0.925
2363,-1,0.953
2364,1,0.716
2364,5,0.852
2364,10,0.907
2364,25,0.927
2364,50,0.913
2364,-1,0.95
2365,1,0.681
2365,5,0.853
2365,10,0.888
2365,25,0.901
2365,50,0.913
2365,-1,0.934
2366,1,0.612
2366,5,0.625
2366,10,0.772
2366,25,0.859
2366,50,0.874
2366,-1,0.934
2367,1,0.839
2367,5,0.83
2367,10,0.862
2367,25,0.869
2367,50,0.888
2367,-1,0.931
2368,1,0.663
2368,5,0.853
2368,10,0.888
2368,25,0.9
2368,50,0.905
2368,-1,0.933
2369,1,0.823
2369,5,0.852
2369,10,0.872
2369,25,0.904
2369,50,0.903
2369,-1,0.929
2370,1,0.652
2370,5,0.852
2370,10,0.864
2370,25,0.875
2370,50,0.884
2370,-1,0.937
2371,1,0.82
2371,5,0.908
2371,10,0.906
2371,25,0.909
2371,50,0.925
2371,-1,0.946
2372,1,0.477
2372,5,0.832
2372,10,0.886
2372,25,0.884
2372,50,0.893
2372,-1,0.937
2373,1,0.702
2373,5,0.871
2373,10,0.879
2373,25,0.89
2373,50,0.914
2373,-1,0.94
2374,1,0.495
2374,5,0.75
2374,10,0.868
2374,25,0.903
2374,50,0.907
2374,-1,0.946
2375,1,0.587
2375,5,0.858
2375,10,0.878
2375,25,0.902
2375,50,0.898
2375,-1,0.939
2376,1,0.708
2376,5,0.832
2376,10,0.871
2376,25,0.893
2376,50,0.917
2376,-1,0.939
2377,1,0.711
2377,5,0.817
2377,10,0.869
2377,25,0.903
2377,50,0.912
2377,-1,0.945
2378,1,0.474
2378,5,0.859
2378,10,0.893
2378,25,0.893
2378,50,0.911
2378,-1,0.936
2379,1,0.656
2379,5,0.807
2379,10,0.847
2379,25,0.897
2379,50,0.906
2379,-1,0.927
2380,1,0.768
2380,5,0.855
2380,10,0.862
2380,25,0.899
2380,50,0.893
2380,-1,0.927
2381,1,0.835
2381,5,0.859
2381,10,0.886
2381,25,0.906
2381,50,0.913
2381,-1,0.947
2382,1,0.633
2382,5,0.742
2382,10,0.796
2382,25,0.879
2382,50,0.906
2382,-1,0.936
2383,1,0.304
2383,5,0.672
2383,10,0.828
2383,25,0.921
2383,50,0.921
2383,-1,0.933
2384,1,0.768
2384,5,0.865
2384,10,0.887
2384,25,0.907
2384,50,0.923
2384,-1,0.963
2385,1,0.561
2385,5,0.859
2385,10,0.888
2385,25,0.88
2385,50,0.913
2385,-1,0.938
2386,1,0.69
2386,5,0.894
2386,10,0.923
2386,25,0.925
2386,50,0.933
2386,-1,0.947
2387,1,0.617
2387,5,0.864
2387,10,0.9
2387,25,0.899
2387,50,0.891
2387,-1,0.932
2388,1,0.715
2388,5,0.871
2388,10,0.831
2388,25,0.876
2388,50,0.904
2388,-1,0.938
2389,1,0.617
2389,5,0.871
2389,10,0.88
2389,25,0.899
2389,50,0.897
2389,-1,0.937
2390,1,0.607
2390,5,0.809
2390,10,0.876
2390,25,0.906
2390,50,0.908
2390,-1,0.938
2391,1,0.465
2391,5,0.803
2391,10,0.862
2391,25,0.897
2391,50,0.913
2391,-1,0.94
2392,1,0.826
2392,5,0.884
2392,10,0.898
2392,25,0.894
2392,50,0.898
2392,-1,0.934
2393,1,0.764
2393,5,0.868
2393,10,0.87
2393,25,0.886
2393,50,0.912
2393,-1,0.93
2394,1,0.779
2394,5,0.844
2394,10,0.858
2394,25,0.882
2394,50,0.898
2394,-1,0.94
2395,1,0.479
2395,5,0.862
2395,10,0.874
2395,25,0.875
2395,50,0.882
2395,-1,0.951
2396,1,0.731
2396,5,0.857
2396,10,0.897
2396,25,0.912
2396,50,0.915
2396,-1,0.942
2397,1,0.61
2397,5,0.796
2397,10,0.844
2397,25,0.886
2397,50,0.909
2397,-1,0.925
2398,1,0.638
2398,5,0.777
2398,10,0.837
2398,25,0.895
2398,50,0.899
2398,-1,0.935
2399,1,0.731
2399,5,0.761
2399,10,0.843
2399,25,0.888
2399,50,0.9
2399,-1,0.949
2400,1,0.75
2400,5,0.831
2400,10,0.867
2400,25,0.874
2400,50,0.911
2400,-1,0.929
2401,1,0.509
2401,5,0.823
2401,10,0.85
2401,25,0.887
2401,50,0.904
2401,-1,0.943
2402,1,0.649
2402,5,0.843
2402,10,0.884
2402,25,0.896
2402,50,0.906
2402,-1,0.943
2403,1,0.458
2403,5,0.822
2403,10,0.838
2403,25,0.906
2403,50,0.915
2403,-1,0.946
2404,1,0.552
2404,5,0.786
2404,10,0.872
2404,25,0.891
2404,50,0.897
2404,-1,0.94
2405,1,0.707
2405,5,0.861
2405,10,0.846
2405,25,0.904
2405,50,0.897
2405,-1,0.943
2406,1,0.684
2406,5,0.865
2406,10,0.921
2406,25,0.922
2406,50,0.916
2406,-1,0.951
2407,1,0.429
2407,5,0.775
2407,10,0.8
2407,25,0.871
2407,50,0.901
2407,-1,0.946
2408,1,0.434
2408,5,0.833
2408,10,0.885
2408,25,0.913
2408,50,0.909
2408,-1,0.953
2409,1,0.827
2409,5,0.855
2409,10,0.845
2409,25,0.892
2409,50,0.904
2409,-1,0.952
2410,1,0.784
2410,5,0.906
2410,10,0.913
2410,25,0.863
2410,50,0.913
2410,-1,0.936
2411,1,0.471
2411,5,0.86
2411,10,0.869
2411,25,0.893
2411,50,0.918
2411,-1,0.929
2412,1,0.784
2412,5,0.862
2412,10,0.878
2412,25,0.906
2412,50,0.934
2412,-1,0.939
2413,1,0.796
2413,5,0.831
2413,10,0.889
2413,25,0.879
2413,50,0.893
2413,-1,0.935
2414,1,0.511
2414,5,0.753
2414,10,0.83
2414,25,0.88
2414,50,0.891
2414,-1,0.939
2415,1,0.805
2415,5,0.855
2415,10,0.908
2415,25,0.886
2415,50,0.89
2415,-1,0.943
2416,1,0.802
2416,5,0.857
2416,10,0.863
2416,25,0.883
2416,50,0.92
2416,-1,0.939
2417,1,0.292
2417,5,0.753
2417,10,0.791
2417,25,0.879
2417,50,0.899
2417,-1,0.944
2418,1,0.813
2418,5,0.724
2418,10,0.812
2418,25,0.894
2418,50,0.91
2418,-1,0.935
2419,1,0.699
2419,5,0.877
2419,10,0.911
2419,25,0.901
2419,50,0.911
2419,-1,0.944
2420,1,0.715
2420,5,0.873
2420,10,0.871
2420,25,0.883
2420,50,0.895
2420,-1,0.965
2421,1,0.551
2421,5,0.79
2421,10,0.866
2421,25,0.895
2421,50,0.912
2421,-1,0.951
2422,1,0.714
