i,k,f1
83,1,0.74
83,5,0.842
83,10,0.872
83,25,0.91
83,50,0.9
83,-1,0.929
84,1,0.596
84,5,0.86
84,10,0.889
84,25,0.888
84,50,0.896
84,-1,0.939
85,1,0.698
85,5,0.87
85,10,0.872
85,25,0.905
85,50,0.928
85,-1,0.936
86,1,0.791
86,5,0.898
86,10,0.846
86,25,0.87
86,50,0.877
86,-1,0.927
87,1,0.518
87,5,0.704
87,10,0.837
87,25,0.86
87,50,0.882
87,-1,0.942
88,1,0.762
88,5,0.86
88,10,0.889
88,25,0.893
88,50,0.914
88,-1,0.935
89,1,0.632
89,5,0.844
89,10,0.821
89,25,0.889
89,50,0.887
89,-1,0.948
90,1,0.833
90,5,0.884
90,10,0.918
90,25,0.918
90,50,0.932
90,-1,0.949
91,1,0.824
91,5,0.845
91,10,0.882
91,25,0.863
91,50,0.9
91,-1,0.94
92,1,0.835
92,5,0.86
92,10,0.897
92,25,0.912
92,50,0.904
92,-1,0.93
93,1,0.756
93,5,0.795
93,10,0.838
93,25,0.882
93,50,0.893
93,-1,0.935
94,1,0.728
94,5,0.777
94,10,0.882
94,25,0.907
94,50,0.917
94,-1,0.943
95,1,0.512
95,5,0.868
95,10,0.889
95,25,0.896
95,50,0.912
95,-1,0.933
96,1,0.614
96,5,0.816
96,10,0.882
96,25,0.899
96,50,0.883
96,-1,0.937
97,1,0.702
97,5,0.843
97,10,0.846
97,25,0.883
97,50,0.887
97,-1,0.931
98,1,0.708
98,5,0.885
98,10,0.884
98,25,0.872
98,50,0.907
98,-1,0.933
99,1,0.456
99,5,0.884
99,10,0.914
99,25,0.88
99,50,0.916
99,-1,0.947
100,1,0.728
100,5,0.839
100,10,0.856
100,25,0.888
100,50,0.912
100,-1,0.931
101,1,0.747
101,5,0.822
101,10,0.832
101,25,0.882
101,50,0.888
101,-1,0.945
102,1,0.232
102,5,0.824
102,10,0.894
102,25,0.921
102,50,0.931
102,-1,0.938
103,1,0.623
103,5,0.883
103,10,0.881
103,25,0.86
103,50,0.896
103,-1,0.929
104,1,0.585
104,5,0.864
104,10,0.788
104,25,0.875
104,50,0.879
104,-1,0.939
105,1,0.821
105,5,0.83
105,10,0.86
105,25,0.889
105,50,0.903
105,-1,0.954
106,1,0.74
